央视,#genre#
CCTV12,http://hlsliveali-cdn.ysp.cctv.cn/06EE21D1F4D475B8D009366F39199376DF9B8B78A0CC77F4A187F525222A1D0983DB166988BCEECE41503C6A360B63D06DCA41EDD1513B849264F2EF5EB47E0E888A62BF610C0B863FE6CDD41AEE8502D4B6278AB11CFA9A4798E9EEF8AB22E349866BB0CFD8D6039F9CCB65BF141A9C224A8409EFC850AF7BA4614097F5E373F9E0E04363391ED19B7B06BF7E0A64E3C08500D3D83DB070E64FBD906A480FE4BA3B51E42884932ECD4DA8FABE86517A/2024078902.m3u8
CCTV13,http://hlsliveali-cdn.ysp.cctv.cn/9BC61B0D44D1DDFC6181E2D23E9F7FE2A0C680060DFCA178A831A090C479FE341AF0DA252EA5E9294F1BB633CC4488EC31229AD7CE0B295B5E88962D27C78B7D26DAC215B47FAB664E6300A2953285B0632448E29F1A3BB6D32A9E386DD28986CEE8A02B71A4D0EEDA7FD0CB5E16E714B0793C6C6B1A0DB4786C135A90093AAC9C4C166D44A5BACB25B0EA172C8D6EDF7EFB0308DD77A4D8CD8F30A0867CF4A413B20381E9B16774287C71C5F151392B/2024079003.m3u8
CCTV14,http://hlsliveali-cdn.ysp.cctv.cn/CAA97332F72323D36A6580CBBB3591DB64A9947D4983BBA3318BFE6146746FA7CA966561D7D774D625C6B0199A9B76B649C0587B011AFBDE7A5513441C3966FE7CB88E0ED969936E948FD0F38545A86687BEB4579A893F84B46DBF72D4CE111895ED07AE2B4D951D38AD3641D9CAFF0FC33C1AE351AE32FDC8259812470CF33CFA2EA8D7A2A8A6441C7A50B7CDBBB62A24B23BDF5CA9AE492B207324A7FB3FF90E958D4B673B829EA450E6672F91CE9F/2024079102.m3u8
CCTV15,http://hlsliveali-cdn.ysp.cctv.cn/BBAC6455770EE118D0DBA30097ED2E86E52109C1E7CF8696310D92C48AB19F15EE4C1804A08757F446F9B4C9478A22B9DAF6CD86D56B454E41E1FC5E9848061BDC6494476515BCEC3C985406125F008D1AD7A11ED1AE9F510AF4AA30942134A1101B04C9FF86DB16475DF5BD5F57F1FB508699CCDB6EDF61821AC591DEE7872E00340A7042ED5D509E117FD1D17DF6F7936D4F393403DFB14CACE8ECAFDCACCE5D22F49B73B4A69E2CD2E9FE2A7B6436/2024079202.m3u8
CCTV16,http://hlsliveali-cdn.ysp.cctv.cn/69D67C060B148A5412C5BA85BD36162632AF00E70F7EF3E26B317EBD4984EC0A80AF1D066D8405BF406066FB3B2CCE053621F824E6B3B7C2CE9C6CB5A5788CDAC4467BB200F71AF581D8C77E5AD26256B92DFF42D4DD310D9FE46AD8D71CAFE2EE0EB039DBFB5E8DC0012F86865B43DF3717DD847A1D68C6950F9BF69BA92AE47DB7C86128A739E0247C93610B71EEE0C3505013934B69B8AEFBA2BDC3A23F5F6AB761D21B6E49FD049E54065AFE629A/2024079302.m3u8
CCTV17,http://hlsliveali-cdn.ysp.cctv.cn/2511F4F1C14B3491A7A8A32B0DC1E55D12B23B6BF88E467405DE8F669DFCBCF3BD7C3EA592BCAF80BF86D4C2E57FAE00898180E14AFE767457DCD65DF8A6C972FA5640C756B22220CA96018D043787C7B75EE895835EE1E4FD523F16050C9C0B6B215CF717384DDDE29330608F118CB2519014F87EB04DA7C42BA5EEAF97BD2BB23E9493C51D6AFCEE6EEDEC797E3D417665969605974551C34F6264B054D9C3F8B1DE77DCE041A3C3E536D5075214E2/2024079502.m3u8
CCTV4K,http://hlsliveali-cdn.ysp.cctv.cn/DB0DF3722B928805E15A90899866CD65C480E623BA6168C49E270E423E80D41F37F5DCB80B6C6DF56E309DABB0D11BC27294CB8CB402D895EE6BAEEC31FF5FB8AD42652DFB667F44910DA29DB62784584EA18ADA748937B903B4538AEB1385F849D0D24CB002C514C4E3573415CE3E430A9F16479236DB2381CA5D776858EDB9EE0F378D0828C3AABE751AA3DB08B54BAC24FD6CD9748AF8586381E5271CBF5B057F8B316CD2B634ABC4B166CCAF829F/2024081302.m3u8
CCTV8K,http://hlsliveali-cdn.ysp.cctv.cn/84F1B8F6A186F0F08A0D25D6E0875AE6984FD6D82E492312B16BB894618399DAA82A4944EB3C87393CF1705CBBCF300C44B7DD0D2F79CAB31D0F047F495B2C65518912078EB663AD32C9B43052A75329576737FE1EE1CCC33A7999D7F2A288886A0DE24E66AB54676BCFB8410CCECA57F1917C61B88B0E7B26E5F3658A4DC8A776A9AAD91638E562A9F35D0B75BBCCD34C6899B84EBC2796F2D23FD4AFF96B2DE72769B9FD8609B75666B52B1C32EC57/2020603421.m3u8
CCTV第一剧场,http://hlsliveali-cdn.ysp.cctv.cn/68CC436A48A2BCF09C11C19B4046F4A30759FD149581FAB4AE27213C7B2B85A0C0B115545D01ABD9BC9BA5FBBDA119094AF3382AE0596BFBF5D9297C4F5AEF26C01A5B27AA3E9A2ABBEE8F7AA7BA299DAA4F1F43EA8D28DB12C06AB3D035209D438577E986D5C3CB19978BCD33EE2A0493683F01A288D4EF709028897B19A1961A8FD372B7813CA2B3C4D77DEBA9945814CC7081B6642A5EE62CE4B8713788A0BDB42EC8DFD5B8C11F8C86469496366C/2024171802.m3u8
CCTV风云剧场,http://hlsliveali-cdn.ysp.cctv.cn/B26C3C27C2A67038D7F22340F28154CD3F48DEA7ABA4C0BD5E687D06381E41753132FBC4B3168A476AB99E74D432EA1340E2B9E82D6E5119B56CA2E5055ABA55B526E2B2A26F2C28973A24BCC3B1B46887997247415EA20700609A30DF8C70F1E488FB30007B0857EE71FD5CBE28AA0D884206BBF8295300DD3C57E8CDEDD137379BFACFF1E07A92158C7914D0C7AF7EC4B940DA296A04ABACC2CBF30732F05E4EAACE2EBF128EA2F85B75B1E6FD5214/2025637102.m3u8
